4D-CT Data Output File,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Time (seconds),Point Data,,,,Line Data,,,,,,,,,,,,,,,,,,,,,,
96.9798,Point,Transformed to Volume,,Coordinates,,Line,P1,P2,Distance,Transformed to Volume,Transformed Distance,Bounds of Polydata,,,,,,,,,,,,,,,
,,,X,Y,Z,,,,,,,Xmin,Ymin,Zmin,Xmax,Ymax,Zmax,,Xmax - Xmin,,,,mean,diff,,,
,1,30,78.7727,43.1336,37.929,30,1,30,25.3958,30,27.1937,,52.3814,30.9727,7.47E-07,78.8679,68.9312,37.5,,26.4865,,,,,,,
,1,31,78.9019,43.501,37.6654,31,1,31,25.3958,31,27.3467,,52.3835,31.2626,3.44E-07,78.8685,70.1038,37.5,,26.485,,,,,,,
,1,32,78.8496,43.9346,37.9782,32,1,32,25.3958,32,27.3904,,52.3826,31.5559,-1.59E-07,78.8685,70.6914,37.5,,26.4859,,,,,,,
,1,33,78.9483,44.139,37.8604,33,1,33,25.3958,33,27.1099,,52.3824,31.8475,-4.25E-07,78.8691,71.5718,37.5,,26.4867,,,,,,,
,1,34,78.8489,44.197,37.6799,34,1,34,25.3958,34,27.0067,,52.3833,32.1399,-2.40E-07,78.87,72.158,37.5,,26.4867,,,,,,,
,1,35,78.9215,44.7917,37.9017,35,1,35,25.3958,35,27.1936,,52.3827,32.4321,7.37E-07,78.8694,73.0368,37.5,,26.4867,,,,,,,
,1,36,78.9495,44.9998,37.8908,36,1,36,25.3958,36,27.3636,,52.3831,32.7236,-9.13E-07,78.8694,73.9162,37.5,,26.4863,,,,,,,
,1,37,78.9123,45.0782,37.9656,37,1,37,25.3958,37,28.2842,,52.3833,32.7564,5.93E-07,78.8692,74.5037,37.5,,26.4859,,,,,,,
,1,38,78.9071,45.4844,37.937,38,1,38,25.3958,38,28.1542,,52.381,33.0138,-8.04E-07,78.8695,75.0911,37.5,,26.4885,,,,,,,
,1,39,78.8985,45.5832,37.7202,39,1,39,25.3958,39,28.3509,,52.4154,33.3045,9.15E-07,78.8681,76.2658,37.5,,26.4527,,,,,,,
,1,40,79.0013,46.1239,37.8417,40,1,40,25.3958,40,25.3958,,52.3815,33.3023,5.93E-07,78.8691,77.1397,37.5,,26.4876,,,,,,,
,1,41,79.0579,46.0815,37.8251,41,1,41,25.3958,41,25.6723,,52.3837,33.5959,8.97E-07,78.8698,77.7352,37.5,,26.4861,,,,,,,
,1,42,79.0542,46.4534,37.6157,42,1,42,25.3958,42,25.741,,52.3836,33.8851,-5.94E-07,78.8688,78.3198,37.5,,26.4852,,,,,,,
,1,43,79.0248,46.8318,37.8208,43,1,43,25.3958,43,26.1042,,52.383,33.8867,7.96E-07,78.8693,79.4907,37.5,,26.4863,,,,,,,
,1,44,79.1205,47.1285,37.7711,44,1,44,25.3958,44,26.2388,,52.3835,34.179,3.72E-08,78.869,80.0812,37.5,,26.4855,,,,,,,
,1,45,79.1176,47.1238,37.9565,45,1,45,25.3958,45,26.4118,,52.3826,34.1766,3.76E-07,78.8698,80.6661,37.5,,26.4872,,,,,,,
,1,46,79.1373,47.5594,37.7338,46,1,46,25.3958,46,26.4202,,52.3827,34.4709,-2.10E-08,78.8695,81.5469,37.5,,26.4868,,,,,,,
,1,47,79.1501,47.7011,37.5227,47,1,47,25.3958,47,26.4327,,52.388,34.7579,4.51E-07,78.8686,82.724,37.5,,26.4806,,,,,,,
,1,48,79.1462,47.6381,37.738,48,1,48,25.3958,48,26.5991,,52.3823,34.7566,2.07E-07,78.8693,83.3092,37.5,,26.487,,,,,,,
,1,49,79.346,47.7575,37.4698,49,1,49,25.3958,49,26.6483,,52.3826,34.7567,8.01E-07,78.8701,84.1874,37.5,,26.4875,,,,,,,
,1,50,79.2365,48.1833,37.3675,50,1,50,25.3958,50,26.5928,,52.3835,35.0471,3.60E-07,78.8686,85.0687,37.5,,26.4851,,,,,,,
,1,51,79.2442,48.4241,37.5559,51,1,51,25.3958,51,26.6593,,52.382,35.0423,-6.45E-07,78.8699,86.2378,37.5,,26.4879,,,,,,,
,1,52,79.2972,48.3171,37.6694,52,1,52,25.3958,52,26.7295,,52.4128,35.0442,1.03E-06,78.8692,87.1235,37.5,,26.4564,,,,,,,
,1,53,79.2364,48.5858,37.7315,53,1,53,25.3958,53,26.7481,,52.3834,35.0436,4.43E-07,78.8699,87.7098,37.5,,26.4865,,,,,,,
,1,54,79.4139,48.6669,37.8069,54,1,54,25.3958,54,26.7633,,52.3789,35.0398,3.29E-07,79.1563,88.3003,37.5,,26.7774,,,,,,,
,1,55,79.3535,49.2535,37.5426,55,1,55,25.3958,55,26.961,,52.6742,35.3339,-9.52E-07,78.8691,89.4707,37.5,,26.1949,,,,,,,
,1,56,79.3565,49.0639,37.9449,56,1,56,25.3958,56,26.9768,,52.384,35.0371,-1.01E-06,78.8712,90.0625,37.5,,26.4872,,,,,,,
,1,57,79.4607,49.6284,37.161,57,1,57,25.3958,57,26.8063,,52.3811,35.3265,-4.65E-07,79.1612,90.9408,37.5,,26.7801,,,,,,,
,1,58,79.5076,50.2411,36.7688,58,1,58,25.3958,58,27.0028,,52.6744,35.3254,-7.02E-07,78.8726,91.5287,37.5,,26.1982,,,,,,,
,1,59,79.5172,49.5145,37.7065,59,1,59,25.3958,59,27.0179,,52.379,35.3247,4.80E-07,79.1631,92.7045,37.5,,26.7841,,,,,,,
,1,60,79.4876,49.8225,37.1433,60,1,60,25.3958,60,27.0917,,52.385,35.3165,6.52E-08,78.8708,93.8812,37.5,,26.4858,,,,,,,
,1,61,79.5743,49.6919,37.6683,61,1,61,25.3958,61,26.9131,,52.6702,35.3196,9.33E-07,78.8725,94.7565,37.5,,26.2023,,,,,,,
,1,62,79.6469,50.2999,37.3256,62,1,62,25.3958,62,27.0509,,52.3817,35.0285,4.92E-07,79.1615,95.3462,37.5,,26.7798,,,,,,,
,1,63,79.6579,50.6417,36.592,63,1,63,25.3958,63,27.1167,,52.6709,35.3159,-1.62E-07,78.8713,96.8156,37.5,,26.2004,,,,,,,
,1,64,79.5981,49.8317,37.7518,64,1,64,25.3958,64,27.1175,,52.3804,34.73,-1.07E-07,79.1604,97.4027,37.5,,26.78,,,,,,,
